Data,Concurso,Num 1,Num 2,Num 3,Num 4,Num 5,Num 6
26/06/2002,373,2,5,16,26,44,54
29/06/2002,374,1,5,9,42,51,58
03/07/2002,375,10,13,25,35,43,48
06/07/2002,376,3,12,19,27,45,46
10/07/2002,377,5,38,41,45,48,55
13/07/2002,378,24,33,40,41,55,59
17/07/2002,379,13,22,30,31,47,57
20/07/2002,380,9,10,28,46,55,56
24/07/2002,381,31,34,37,38,53,54
27/07/2002,382,14,22,48,50,53,56
31/07/2002,383,24,28,40,47,50,52
03/08/2002,384,5,12,16,18,22,24
07/08/2002,385,17,35,36,39,43,54
10/08/2002,386,22,28,29,43,47,48
14/08/2002,387,23,36,48,52,53,58
17/08/2002,388,5,14,18,43,46,54
21/08/2002,389,7,12,22,34,38,53
24/08/2002,390,4,7,15,16,35,40
28/08/2002,391,15,23,31,39,47,49
31/08/2002,392,6,12,35,36,40,50
04/09/2002,393,5,15,35,42,45,49
07/09/2002,394,10,11,14,20,31,58
11/09/2002,395,6,18,34,42,45,47
14/09/2002,396,1,2,5,24,32,46
18/09/2002,397,7,16,22,28,36,37
21/09/2002,398,11,16,27,47,55,59
25/09/2002,399,10,13,28,29,54,59
28/09/2002,400,11,18,43,44,50,53
02/10/2002,401,5,16,27,43,56,58
05/10/2002,402,7,16,27,31,46,60
09/10/2002,403,1,24,28,38,40,58
12/10/2002,404,24,29,34,47,57,60
16/10/2002,405,2,12,32,38,47,48
19/10/2002,406,2,18,22,49,51,57
23/10/2002,407,14,28,33,44,49,56
26/10/2002,408,18,25,26,31,34,49
30/10/2002,409,8,24,31,36,38,55
02/11/2002,410,10,12,31,38,45,56
06/11/2002,411,5,12,14,21,45,59
09/11/2002,412,2,4,29,33,35,53
13/11/2002,413,16,26,35,45,52,58
16/11/2002,414,1,4,27,38,42,44
20/11/2002,415,1,13,23,33,54,56
23/11/2002,416,7,12,21,25,34,42
27/11/2002,417,8,15,32,45,49,52
30/11/2002,418,9,16,41,42,52,53
04/12/2002,419,12,29,30,43,57,59
07/12/2002,420,5,35,37,38,45,51
11/12/2002,421,12,37,43,55,56,60
14/12/2002,422,8,22,32,33,40,53
18/12/2002,423,18,27,29,36,46,59
21/12/2002,424,6,10,16,34,42,47
28/12/2002,425,7,30,32,37,50,54
04/01/2003,426,3,13,14,24,43,51
08/01/2003,427,8,28,30,32,46,60
11/01/2003,428,17,26,32,36,43,55
15/01/2003,429,8,10,21,25,38,50
18/01/2003,430,26,37,40,47,52,58
22/01/2003,431,4,13,17,27,39,50
25/01/2003,432,16,17,28,30,36,54
29/01/2003,433,4,10,17,24,30,54
01/02/2003,434,10,11,17,31,37,43
05/02/2003,435,1,6,7,29,48,57
08/02/2003,436,7,10,30,44,54,59
12/02/2003,437,3,5,11,14,38,48
15/02/2003,438,13,20,29,42,43,57
19/02/2003,439,3,5,23,30,46,47
22/02/2003,440,2,10,15,21,58,59
26/02/2003,441,6,15,23,31,37,59
01/03/2003,442,11,17,26,36,48,52
08/03/2003,443,3,24,33,48,52,57
12/03/2003,444,7,20,31,32,50,53
15/03/2003,445,8,11,12,17,20,47
19/03/2003,446,15,24,25,33,42,55
22/03/2003,447,3,5,9,45,51,52
26/03/2003,448,1,8,24,34,49,56
29/03/2003,449,1,9,13,50,51,59
02/04/2003,450,17,18,23,28,31,53
05/04/2003,451,11,16,30,36,51,54
09/04/2003,452,8,20,23,34,52,58
12/04/2003,453,4,17,24,42,46,56
16/04/2003,454,2,14,15,17,50,59
19/04/2003,455,3,17,22,27,33,40
23/04/2003,456,15,17,24,27,32,48
26/04/2003,457,13,24,32,34,43,53
30/04/2003,458,8,15,17,39,43,49
03/05/2003,459,19,23,30,37,49,55
07/05/2003,460,15,17,20,29,30,60
10/05/2003,461,17,19,22,26,27,48
14/05/2003,462,2,3,7,18,45,53
17/05/2003,463,6,24,33,38,45,50
21/05/2003,464,1,22,31,46,51,57
24/05/2003,465,11,16,28,29,30,45
28/05/2003,466,8,18,21,22,38,60
31/05/2003,467,5,6,23,25,39,51
04/06/2003,468,13,21,26,29,42,47
07/06/2003,469,8,11,23,37,51,58
11/06/2003,470,5,31,32,36,51,59
14/06/2003,471,3,4,12,29,38,51
18/06/2003,472,7,23,41,49,51,58
21/06/2003,473,3,12,32,34,40,50
25/06/2003,474,6,8,19,22,43,52
28/06/2003,475,17,20,38,43,55,58
02/07/2003,476,6,8,18,34,38,47
05/07/2003,477,3,8,21,25,30,31
09/07/2003,478,20,26,41,46,54,58
12/07/2003,479,14,33,36,38,41,49
16/07/2003,480,6,13,22,24,42,44
19/07/2003,481,12,13,33,53,54,56
23/07/2003,482,16,18,23,35,44,59
26/07/2003,483,17,18,19,38,49,53
30/07/2003,484,19,28,30,38,52,57
02/08/2003,485,8,14,19,30,42,50
06/08/2003,486,8,22,25,48,52,54
09/08/2003,487,15,30,35,39,43,57
13/08/2003,488,17,28,33,36,53,59
16/08/2003,489,5,11,23,29,54,58
20/08/2003,490,1,9,15,22,43,55
23/08/2003,491,2,6,15,18,56,57
27/08/2003,492,3,18,20,24,42,54
30/08/2003,493,18,20,28,32,49,53
03/09/2003,494,8,15,29,36,49,60
06/09/2003,495,10,19,20,29,41,59
10/09/2003,496,9,13,20,32,41,58
13/09/2003,497,2,6,28,49,50,57
17/09/2003,498,1,4,5,11,44,59
20/09/2003,499,21,29,35,36,38,54
27/09/2003,500,16,27,28,34,39,56
01/10/2003,501,7,13,21,24,33,50
04/10/2003,502,7,10,21,27,48,49
08/10/2003,503,8,11,19,30,39,50
11/10/2003,504,3,20,28,46,47,52
15/10/2003,505,4,15,31,34,37,38
18/10/2003,506,3,5,27,33,44,58
22/10/2003,507,5,10,15,45,46,56
25/10/2003,508,28,32,33,34,35,55
29/10/2003,509,1,4,30,41,45,58
01/11/2003,510,3,4,8,34,36,37
05/11/2003,511,4,8,31,40,53,58
08/11/2003,512,10,19,27,33,39,46
12/11/2003,513,15,36,40,42,51,52
15/11/2003,514,15,16,39,45,48,57
19/11/2003,515,5,13,24,33,34,35
22/11/2003,516,7,8,28,32,38,51
26/11/2003,517,5,8,10,15,18,44
29/11/2003,518,9,15,19,22,36,42
03/12/2003,519,9,12,17,32,34,35
06/12/2003,520,15,25,28,32,38,45
10/12/2003,521,6,14,15,25,49,52
13/12/2003,522,28,39,40,44,45,58
17/12/2003,523,19,29,34,41,47,48
20/12/2003,524,8,10,24,26,32,49
27/12/2003,525,3,21,31,36,55,59
03/01/2004,526,6,14,17,26,50,52
07/01/2004,527,8,12,28,31,34,37
10/01/2004,528,1,13,33,38,45,56
14/01/2004,529,1,6,21,25,32,49
17/01/2004,530,1,3,7,18,35,50
21/01/2004,531,4,9,12,13,52,53
24/01/2004,532,13,18,21,27,53,59
28/01/2004,533,3,8,23,31,48,57
31/01/2004,534,6,14,28,47,49,56
04/02/2004,535,14,15,22,23,25,37
07/02/2004,536,3,7,19,34,37,39
11/02/2004,537,3,25,43,45,52,56
14/02/2004,538,6,16,19,47,50,55
